artist,artist_code,title,title_code,rank,date,hour,site
임창정,1142,하루도 그대를 사랑하지 않은 적이 없었다,31316695,1,2018-09-29,16,melon
로이킴,699632,우리 그만하자,31314142,2,2018-09-29,16,melon
선미,22938,사이렌 (Siren),31286161,3,2018-09-29,16,melon
펀치 (Punch),749640,헤어지는 중,31302310,4,2018-09-29,16,melon
숀 (SHAUN),510242,Way Back Home,31151836,5,2018-09-29,16,melon
방탄소년단,672375,IDOL,31266290,6,2018-09-29,16,melon
폴킴,752425,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,7,2018-09-29,16,melon
벤,655051,열애중,31062863,8,2018-09-29,16,melon
"기리보이, Kid Milli, NO:EL, 스윙스",585492,flex (Prod. By 기리보이),31219546,9,2018-09-29,16,melon
BLACKPINK,995169,뚜두뚜두 (DDU-DU DDU-DU),31131273,10,2018-09-29,16,melon
방탄소년단,672375,I`m Fine,31266289,11,2018-09-29,16,melon
방탄소년단,672375,FAKE LOVE,31085237,12,2018-09-29,16,melon
Red Velvet (레드벨벳),780066,Power Up,31230093,13,2018-09-29,16,melon
TWICE (트와이스),905701,Dance The Night Away,31175119,14,2018-09-29,16,melon
방탄소년단,672375,Euphoria,31266282,15,2018-09-29,16,melon
마마무(Mamamoo),750053,너나 해 (Egotistic),31189241,16,2018-09-29,16,melon
"백현 (BAEKHYUN), 로꼬",672859,YOUNG,31280273,17,2018-09-29,16,melon
볼빨간사춘기,792022,여행,31093710,18,2018-09-29,16,melon
닐로 (Nilo),896096,지나오다,30699142,19,2018-09-29,16,melon
(여자)아이들,2137482,한(一),31246870,20,2018-09-29,16,melon
방탄소년단,672375,전하지 못한 진심 (Feat. Steve Aoki),31085238,21,2018-09-29,16,melon
승리,403841,"셋 셀테니 (1, 2, 3!)",31199873,22,2018-09-29,16,melon
방탄소년단,672375,Answer : Love Myself,31266291,23,2018-09-29,16,melon
Apink (에이핑크),534360,1도 없어,31161280,24,2018-09-29,16,melon
지코 (ZICO),602056,SoulMate (Feat. 아이유),31215747,25,2018-09-29,16,melon
방탄소년단,672375,봄날,30244931,26,2018-09-29,16,melon
"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",786499,IndiGO,31144690,27,2018-09-29,16,melon
BLACKPINK,995169,Forever Young,31131274,28,2018-09-29,16,melon
방탄소년단,672375,DNA,30637982,29,2018-09-29,16,melon
10cm,468244,매트리스,31263577,30,2018-09-29,16,melon
로이킴,699632,그때 헤어지면 돼,30884950,31,2018-09-29,16,melon
멜로망스,839732,동화,31164090,32,2018-09-29,16,melon
방탄소년단,672375,Epiphany,31266288,33,2018-09-29,16,melon
양다일,695994,미안해,30809895,34,2018-09-29,16,melon
방탄소년단,672375,Trivia 轉 : Seesaw,31266286,35,2018-09-29,16,melon
폴킴,752425,비,8235260,36,2018-09-29,16,melon
방탄소년단,672375,Anpanman,31085244,37,2018-09-29,16,melon
방탄소년단,672375,Trivia 起 : Just Dance,31266292,38,2018-09-29,16,melon
iKON,895741,사랑을 했다 (LOVE SCENARIO),30859584,39,2018-09-29,16,melon
바이브,160080,가을 타나 봐,31314144,40,2018-09-29,16,melon
먼데이 키즈 (Monday Kiz),175155,가을 안부,30669593,41,2018-09-29,16,melon
소녀시대-Oh!GG,2296946,몰랐니 (Lil` Touch),31288765,42,2018-09-29,16,melon
EXO,724619,Universe,30806536,43,2018-09-29,16,melon
